age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,fraud_reported
34,2,1000,936.61,0,0,4,1,5,52800,-32800,7,1,0,1,2,4,6,622,5,1,1,1,1,1,7280,1120,1120,5040,12,0
38,2,2000,1301.13,0,0,1,6,1,41300,-55500,14,2,2,2,4,4,6,658,12,1,1,0,2,2,46200,4200,8400,33600,4,1
58,1,2000,1131.4,0,0,4,13,2,55700,0,28,0,3,0,3,6,2,953,12,4,2,0,0,1,63120,10520,10520,42080,0,1
26,2,1000,1199.44,5000000,1,1,6,3,63600,0,52,0,2,0,3,1,5,459,0,3,0,1,2,2,52110,5790,5790,40530,9,0
31,1,500,708.64,6000000,1,2,6,4,53500,0,5,2,3,2,4,6,3,393,9,1,1,0,2,2,77880,14160,7080,56640,11,0
37,2,500,1374.22,0,0,4,2,2,45500,-37800,18,2,3,2,3,1,4,319,19,1,2,1,0,1,72930,6630,13260,53040,0,0
39,1,2000,1475.73,0,0,2,5,3,57000,-27300,52,0,3,0,4,5,1,803,8,3,0,2,0,1,60400,6040,6040,48320,9,0
62,1,1000,1187.96,4000000,1,3,7,3,0,0,0,0,2,1,4,1,1,486,20,3,1,1,0,0,47160,0,5240,41920,11,0
41,0,2000,875.15,0,0,0,6,3,46700,0,40,0,3,2,4,4,0,889,15,3,0,1,2,0,37840,0,4730,33110,0,0
55,0,2000,972.18,0,1,2,9,2,72700,-68200,10,0,2,0,0,4,2,164,20,3,1,0,0,2,71520,17880,5960,47680,11,1
55,1,2000,1268.79,0,1,4,8,3,0,-31000,18,2,1,2,0,6,3,518,15,1,0,2,2,0,98160,8180,16360,73620,4,1
40,1,1000,883.31,0,1,1,2,0,0,-53500,54,2,2,1,3,5,5,162,6,1,1,1,3,1,77880,7080,14160,56640,5,0
35,2,2000,1266.92,0,1,5,11,3,0,0,8,0,2,0,3,2,0,262,16,3,1,1,3,2,71500,16500,11000,44000,5,1
43,1,2000,1322.1,0,1,2,9,3,0,-29200,27,1,0,1,4,3,0,165,4,1,2,1,3,2,9020,1640,820,6560,12,0
34,1,500,848.07,3000000,1,3,3,1,31000,-30200,6,3,0,1,2,5,4,307,5,1,2,2,1,0,5720,1040,520,4160,11,1
40,2,2000,1291.7,0,0,3,11,1,0,-55600,7,2,3,1,3,4,3,244,21,1,1,1,0,2,69840,7760,15520,46560,4,0
45,0,2000,1104.5,0,0,6,6,4,0,0,45,2,2,1,4,4,4,123,5,1,1,2,2,1,91650,14100,14100,63450,0,0
25,0,1000,954.16,0,1,5,9,0,53200,0,17,0,3,0,0,4,1,412,22,4,1,0,0,0,75600,12600,12600,50400,12,0
37,0,2000,1337.28,8000000,1,3,2,0,27500,0,58,0,3,0,4,6,5,900,10,3,1,2,2,0,67140,7460,7460,52220,5,1
35,0,1000,1088.34,0,0,0,0,2,81100,0,54,0,1,2,4,1,0,565,16,3,2,2,3,1,29790,3310,3310,23170,2,0
30,0,1000,1558.29,0,1,2,4,5,51400,-64000,8,0,1,0,0,1,2,823,1,3,1,1,2,0,77110,14020,14020,49070,11,0
37,0,500,1415.68,0,1,6,9,3,0,0,42,2,3,2,1,6,2,277,17,1,2,0,1,2,64800,10800,5400,48600,1,0
33,2,1000,1334.15,6000000,1,2,2,1,53300,-49200,23,2,1,0,3,6,6,233,15,1,2,2,0,2,53100,10620,5310,37170,8,1
28,0,1000,988.45,0,0,5,10,4,0,0,8,2,2,2,4,1,4,445,3,1,0,1,1,2,60200,6020,6020,48160,11,1
49,0,2000,1222.48,0,0,3,8,4,0,0,17,1,0,1,2,6,0,637,16,1,1,1,1,2,5330,1230,820,3280,11,0
54,1,2000,1155.55,0,0,4,2,4,65700,0,20,0,2,0,4,1,2,332,4,3,0,2,0,0,62300,12460,6230,43610,7,0
37,1,500,1262.08,0,1,3,12,5,48500,0,7,2,1,0,0,0,1,264,4,1,0,0,3,1,60170,10940,10940,38290,9,1
26,0,500,1451.62,0,1,0,12,1,0,-55700,2,2,2,1,0,6,1,427,19,1,1,2,2,0,40000,8000,4000,28000,2,0
34,1,500,1737.66,0,1,0,13,4,0,-24100,0,2,3,0,4,6,4,520,1,1,0,1,1,0,97080,16180,16180,64720,2,1
23,0,500,1475.93,0,0,1,9,0,0,-67400,15,0,3,1,3,4,6,245,17,3,2,1,0,1,51660,5740,5740,40180,4,0
30,2,500,538.17,0,0,6,13,3,49700,-60200,40,2,2,2,3,0,0,635,23,1,1,2,2,1,51120,5680,5680,39760,8,0
44,0,2000,1081.08,0,1,3,8,4,36400,-28700,44,2,1,1,3,4,6,78,14,1,2,0,2,0,56400,11280,11280,33840,12,0
40,0,1000,1454.43,0,0,4,10,0,0,0,51,0,2,2,3,1,0,360,17,3,1,2,3,0,55120,6890,0,48230,0,0
33,1,500,1240.47,0,0,0,7,0,35300,0,48,0,2,2,1,0,3,720,11,3,2,1,1,0,77110,0,14020,63090,6,0
47,2,2000,1273.7,4000000,1,1,7,0,0,0,9,0,1,0,1,6,0,879,19,3,1,2,1,1,62800,6280,6280,50240,1,1
34,1,1000,1123.87,8000000,0,6,10,2,0,0,56,3,0,3,4,1,0,630,5,1,0,2,0,2,7290,810,810,5670,13,0
35,0,1000,1245.89,0,0,5,3,5,0,-40300,0,2,2,2,3,6,6,557,19,1,1,0,0,0,76600,15320,7660,53620,8,0
59,2,2000,1326.62,7000000,1,4,7,3,0,0,2,0,1,1,1,1,5,461,19,3,0,0,3,2,81800,16360,8180,57260,9,0
27,0,2000,1073.83,0,0,3,4,0,0,0,16,3,0,3,2,1,0,139,4,1,0,1,2,0,7260,1320,660,5280,2,0
39,1,1000,1530.52,0,1,1,1,1,0,0,52,3,0,1,2,6,3,172,8,1,0,2,1,2,4300,430,430,3440,12,0
40,1,500,1201.41,0,0,3,8,0,88400,-46500,26,0,3,0,4,0,1,719,7,3,2,1,0,0,70510,12820,12820,44870,11,0
39,2,1000,1393.57,0,1,6,6,1,47600,-39600,57,1,0,1,4,5,3,536,5,1,1,0,1,2,2640,480,480,1680,5,0
26,2,1000,1276.57,0,1,6,2,1,71500,0,5,2,2,1,1,1,0,646,3,1,2,1,2,1,78900,15780,7890,55230,3,0
56,1,500,1082.49,0,0,6,9,4,36100,-55000,58,0,1,0,1,4,1,428,12,3,0,2,3,0,56430,0,6270,50160,6,0
32,1,1000,1414.74,0,0,5,0,3,0,0,52,1,0,1,2,5,5,488,19,1,1,1,3,1,2400,300,300,1800,3,0
39,0,2000,1470.06,0,1,6,7,0,56600,-45800,6,2,1,2,0,6,5,370,22,1,2,0,1,1,65790,7310,7310,51170,10,0
36,2,2000,870.63,0,0,4,0,3,94800,-58500,5,0,3,1,4,5,2,143,12,3,1,1,1,1,62920,11440,5720,45760,5,0
34,1,500,795.23,0,1,6,6,2,36900,0,9,0,2,0,4,1,6,629,15,3,2,2,1,0,69480,15440,0,54040,9,1
44,0,1000,1168.2,0,1,3,5,0,69100,0,41,0,3,2,3,2,6,717,23,3,1,0,3,1,44280,7380,3690,33210,6,0
32,0,1000,993.51,0,1,2,1,4,0,-49500,11,2,3,1,3,6,2,281,12,1,1,0,3,2,56300,5630,11260,39410,2,0
42,2,500,1848.81,0,1,3,13,3,0,-49000,36,0,1,0,1,6,3,157,20,3,2,2,2,2,68520,11420,5710,51390,11,1
42,2,2000,1641.73,5000000,1,6,11,1,62400,0,19,0,2,2,1,5,5,22,16,3,1,0,0,1,59130,6570,6570,45990,5,1
39,1,500,1362.87,0,0,4,3,2,35700,0,52,0,1,1,0,1,0,16,6,3,2,2,2,1,82320,13720,6860,61740,4,1
31,1,500,1239.22,7000000,0,2,12,1,43400,-91200,29,2,3,1,1,4,6,918,12,1,2,0,1,1,89700,13800,13800,62100,1,1
64,2,500,835.02,0,0,0,0,4,59600,0,32,0,3,1,1,6,2,838,17,3,1,1,1,1,33930,0,3770,30160,2,0
30,2,1000,1061.33,0,1,4,6,3,43300,-66200,9,2,1,0,0,6,4,530,8,1,1,0,3,1,68530,12460,6230,49840,1,0
49,1,1000,1279.08,0,1,4,7,3,0,-51500,57,1,0,1,2,0,5,758,13,1,1,0,1,0,4300,860,860,2580,5,0
42,2,500,1105.49,0,0,0,9,3,56200,-50000,50,0,3,0,3,4,2,791,12,2,0,2,3,0,68310,12420,6210,49680,1,1
41,2,2000,1055.53,0,0,4,1,1,37800,-50300,38,2,1,2,3,6,4,653,7,1,1,0,2,1,61290,6810,6810,47670,6,1
41,2,1000,895.83,0,0,0,11,0,0,0,41,2,2,1,0,0,0,148,10,1,1,1,2,1,30100,3010,0,27090,3,0
37,1,500,1632.93,0,0,1,13,1,0,-42900,53,0,2,1,1,4,5,784,7,3,1,2,0,2,57120,9520,4760,42840,8,0
40,0,1000,1405.99,0,0,0,11,5,0,0,59,0,3,1,0,5,6,419,18,3,2,1,0,2,42930,9540,4770,28620,2,0
35,2,1000,1425.54,0,0,2,13,2,78300,0,14,0,1,2,0,4,5,454,22,3,1,2,0,1,51210,11380,5690,34140,5,0
45,2,1000,1038.09,0,0,1,5,0,0,-19700,13,0,1,1,1,1,6,120,18,3,1,1,1,2,89400,14900,7450,67050,11,0
47,1,500,1307.11,0,1,1,13,1,0,0,47,0,1,2,4,6,4,191,22,3,1,0,2,0,59730,10860,10860,38010,1,0
39,2,1000,1489.24,6000000,0,3,7,5,0,-45000,23,3,0,1,2,4,6,780,15,1,2,2,2,2,8060,1240,1240,5580,10,0
38,2,500,976.67,0,0,6,5,4,0,0,20,2,2,0,1,4,4,617,16,1,0,1,2,0,72200,14440,7220,50540,2,1
31,2,2000,1340.43,0,1,2,3,0,52700,-40600,49,0,3,1,0,0,0,225,6,3,1,1,2,1,50800,10160,10160,30480,0,0
40,2,2000,1267.81,5000000,0,5,3,5,0,0,2,3,0,3,2,0,4,681,10,1,0,2,1,0,6600,660,1320,4620,0,0
29,0,1000,1234.2,6000000,1,5,7,2,0,0,28,3,0,1,4,1,4,462,3,1,2,2,2,1,7500,750,1500,5250,9,0
35,1,2000,1318.06,0,1,2,3,5,57300,-80600,18,3,0,3,2,5,2,149,13,1,1,0,3,2,6490,1180,1180,4130,13,0
48,1,2000,769.95,0,1,5,9,1,0,-44200,18,0,3,0,0,1,2,0,16,2,0,2,3,1,60940,5540,11080,44320,1,1
41,2,2000,1514.72,0,1,2,13,3,35700,0,32,0,1,0,1,1,4,721,13,3,2,0,1,0,58300,5830,11660,40810,11,0
34,0,1000,873.64,4000000,0,0,8,0,800,0,29,0,1,1,3,4,1,948,9,3,1,2,1,0,68400,11400,11400,45600,5,0
32,0,500,1612.43,0,0,4,7,3,36400,0,7,2,3,2,1,5,6,122,2,1,0,2,1,2,64240,11680,11680,40880,2,0
36,0,2000,1318.24,9000000,0,1,9,1,0,-78600,29,1,0,3,2,6,0,503,9,1,1,0,1,2,4700,940,470,3290,4,0
25,1,1000,1226.83,0,0,1,3,1,0,-56100,6,0,3,0,3,4,1,698,12,3,2,2,0,0,45120,0,5640,39480,0,1
29,2,2000,1326.44,5000000,0,2,11,3,0,0,54,0,1,2,1,4,0,827,12,2,2,1,1,0,66950,10300,10300,46350,10,0
23,0,2000,1136.83,4000000,0,0,12,3,0,-62400,32,2,3,0,4,1,1,31,14,1,1,0,3,0,98340,8940,17880,71520,6,1
42,0,2000,1322.78,0,1,6,4,3,55200,0,58,1,0,3,2,6,6,474,9,1,1,0,1,1,5900,590,590,4720,2,0
43,1,1000,1483.25,0,0,4,3,1,90700,-20800,39,0,1,0,0,0,5,11,3,3,1,1,1,0,70680,5890,11780,53010,5,0
42,0,500,1515.3,0,0,2,6,1,0,0,18,0,2,2,0,4,3,973,21,3,1,1,0,1,93720,17040,8520,68160,8,0
25,0,2000,1075.18,5000000,0,6,1,0,67700,-58400,51,3,0,1,2,2,4,252,5,1,1,2,0,2,6930,1260,630,5040,12,0
47,1,1000,1690.27,0,0,0,10,1,61500,0,13,2,3,0,1,5,6,619,11,1,2,0,3,1,72930,6630,6630,59670,4,1
25,0,2000,1352.83,0,1,5,4,3,0,-71700,21,0,2,1,3,4,2,75,4,4,2,1,2,2,64890,7210,7210,50470,9,1
48,2,1000,1148.73,0,0,1,6,5,0,0,52,1,0,3,2,6,1,341,6,1,0,1,2,2,5400,900,900,3600,10,0
42,0,1000,969.5,0,1,1,3,1,0,0,25,3,0,3,2,0,4,156,10,1,1,0,0,0,5600,700,700,4200,1,0
41,1,500,1463.82,0,0,1,10,1,0,-72300,23,2,2,1,4,4,3,757,23,1,2,0,0,0,79300,15860,15860,47580,10,0
27,0,1000,1474.17,0,0,1,12,4,0,0,49,2,3,0,4,6,3,764,13,1,2,1,0,2,52800,10560,5280,36960,10,0
41,0,500,1497.35,0,0,3,9,0,37300,-31700,28,0,1,1,1,0,4,129,16,3,0,2,3,1,28800,0,3600,25200,5,0
33,2,1000,1427.14,0,0,0,12,2,35300,-58100,45,1,0,1,4,6,3,1,3,1,1,1,1,1,2970,330,330,2310,12,0
54,2,500,1495.1,0,1,1,7,5,50500,0,42,0,3,2,4,4,3,352,15,3,1,0,0,0,93480,15580,7790,70110,3,0
49,0,500,1141.62,0,1,1,9,0,34300,-24300,0,3,0,1,2,6,1,799,4,1,2,1,3,2,4320,480,480,3360,8,0
61,2,1000,1125.37,0,0,0,9,0,0,-56400,12,0,2,0,4,5,3,422,6,3,0,0,2,2,79800,6650,19950,53200,10,1
28,1,2000,1207.36,0,0,2,5,3,0,-57000,59,0,1,0,0,6,1,714,22,2,1,1,0,0,74200,7420,14840,51940,13,0
47,0,2000,1338.5,0,0,6,6,2,28800,0,32,2,1,0,1,1,4,145,1,1,0,0,0,0,70590,10860,10860,48870,10,1
31,1,1000,1074.07,0,0,5,11,0,0,-47500,26,0,2,0,1,1,6,221,16,3,1,0,3,2,60940,5540,11080,44320,9,1
42,2,500,1337.56,0,0,1,9,4,0,0,11,2,2,1,4,4,5,469,18,1,0,1,2,2,74700,7470,14940,52290,4,0
60,1,500,1298.91,6000000,1,6,2,4,52600,-38800,5,2,1,0,1,0,6,700,0,1,2,0,0,0,70000,14000,7000,49000,5,1
41,0,500,1222.75,0,1,2,3,2,0,-41000,29,0,2,2,3,6,1,46,12,3,0,2,0,1,81070,14740,14740,51590,2,0
32,1,1000,1059.52,0,1,4,10,3,0,-40600,59,0,3,0,3,5,2,510,13,2,0,1,1,0,57720,14430,9620,33670,10,0
51,2,2000,1124.38,0,1,0,1,2,0,0,54,3,0,1,2,5,4,397,9,1,2,1,1,2,7080,1180,1180,4720,5,0
46,1,1000,1110.37,10000000,1,4,6,2,34400,-56800,23,0,3,2,3,1,5,391,14,3,1,0,1,0,47700,4770,9540,33390,0,1
31,0,2000,1374.22,0,0,6,6,2,62000,-63100,56,2,2,1,4,4,2,804,16,1,1,0,3,1,51260,9320,9320,32620,11,0
41,2,2000,1103.58,0,1,2,3,4,41200,-36200,18,0,3,0,4,1,3,314,20,3,0,2,2,1,70400,6400,12800,51200,12,1
38,0,2000,1269.76,0,0,6,13,1,44300,0,16,2,2,1,1,1,2,400,4,1,1,1,3,2,90000,18000,9000,63000,5,0
39,2,500,964.79,8000000,0,0,0,0,58000,0,50,0,2,1,4,1,0,71,7,3,0,0,1,0,72820,13240,6620,52960,2,0
41,0,2000,1167.3,4000000,1,2,8,2,0,0,52,2,3,1,1,4,2,825,22,1,1,2,0,0,69300,13860,13860,41580,13,0
36,0,500,1625.45,4000000,0,4,7,2,0,-53700,22,2,1,0,0,1,4,124,11,1,1,2,1,1,76560,12760,12760,51040,5,1
38,0,500,1394.43,0,0,5,7,1,0,0,30,2,1,0,0,5,1,458,7,1,0,0,1,2,55440,0,6160,49280,9,1
25,2,2000,1053.24,0,0,1,9,2,51100,0,4,0,1,2,3,0,0,733,0,4,2,1,0,1,77130,8570,17140,51420,0,0
35,0,500,1040.75,0,0,3,9,1,0,0,33,2,2,2,0,6,3,138,1,1,2,1,1,0,42000,7000,7000,28000,2,0
39,1,1000,1302.4,6000000,1,3,2,4,47200,-69700,47,0,2,2,0,1,2,67,12,3,1,2,3,2,36300,3300,9900,23100,5,0
38,0,2000,1588.55,0,1,4,10,4,59600,-32100,8,2,3,2,3,6,1,760,8,1,1,0,0,0,40320,5760,5760,28800,11,0
32,1,500,1399.26,0,0,2,12,3,70500,0,38,1,0,1,4,3,4,19,9,1,0,2,0,0,3960,330,660,2970,2,0
43,2,2000,1352.31,0,1,1,4,5,40700,-47300,36,2,1,0,1,1,3,892,22,1,2,0,3,2,63840,10640,10640,42560,2,1
28,0,1000,1139.0,6000000,0,5,11,0,42400,0,13,0,1,0,1,4,3,763,0,3,0,1,2,0,44730,4970,4970,34790,10,1
45,1,1000,1397.67,0,1,3,6,5,57900,0,21,0,1,1,3,1,0,899,0,3,2,1,2,1,84720,14120,14120,56480,5,0
39,1,500,823.17,0,1,5,0,3,0,0,53,0,1,0,3,6,1,8,3,3,0,2,2,1,61500,6150,12300,43050,4,0
27,2,500,965.13,0,0,5,12,4,60000,-54800,52,0,1,0,0,0,0,192,21,3,0,0,1,0,51000,8500,8500,34000,9,0
33,0,1000,1922.84,0,0,2,6,5,0,-45200,23,2,3,2,4,6,3,456,0,1,0,2,1,1,46800,4680,9360,32760,7,0
32,2,2000,1624.82,0,1,6,3,4,65300,-65600,39,2,3,1,0,6,3,442,16,1,0,1,1,0,78120,17360,8680,52080,2,0
34,1,2000,1277.25,0,0,1,3,2,84900,0,18,2,2,0,4,1,6,853,14,1,1,1,2,0,69200,13840,6920,48440,13,1
40,0,1000,1439.34,0,0,2,11,2,45300,-20400,0,3,0,1,4,5,5,169,9,1,0,0,0,1,3690,410,410,2870,5,0
28,0,1000,1281.27,0,0,6,12,1,68900,0,6,0,2,1,1,4,6,756,9,3,1,0,3,0,65500,6550,6550,52400,2,0
46,0,500,1348.83,0,0,2,9,5,46300,-77500,31,0,2,1,1,0,6,936,21,3,0,1,2,2,76120,13840,6920,55360,12,0
32,0,1000,1198.15,0,0,4,7,1,0,-43200,51,0,1,2,3,5,6,797,19,3,1,0,2,2,73560,12260,12260,49040,2,0
35,2,2000,1221.22,0,1,5,6,2,76000,0,20,2,2,2,4,1,3,598,2,1,2,0,1,0,52030,9460,4730,37840,8,0
41,0,2000,968.74,0,1,5,13,5,0,-49000,18,3,0,3,2,4,4,502,9,1,0,2,3,0,5170,470,940,3760,11,0
34,1,1000,1220.71,0,1,6,6,3,58600,-28700,57,1,0,1,2,4,3,908,5,1,0,2,1,2,8190,1890,1260,5040,3,0
29,1,2000,1238.62,6000000,1,4,3,2,0,-56200,44,2,2,0,0,4,6,841,14,1,0,2,3,0,70800,7080,14160,49560,0,1
31,0,2000,1320.75,0,0,3,4,5,54100,0,31,0,2,2,4,6,6,586,20,3,0,0,3,2,45630,5070,5070,35490,0,0
58,2,500,990.98,0,0,0,3,5,0,-57900,32,2,1,0,4,0,4,56,18,1,2,2,1,0,99320,7640,15280,76400,0,1
41,0,500,1398.51,4000000,1,5,12,1,0,-57100,31,0,3,0,1,0,3,411,13,3,0,2,0,1,64000,12800,6400,44800,2,1
38,2,500,1355.08,0,0,4,7,2,58100,0,18,2,1,1,1,6,4,131,21,1,0,1,1,0,47300,4730,4730,37840,9,0
27,0,1000,1384.51,0,1,6,0,1,13100,-38200,48,2,2,0,3,4,6,946,14,1,1,2,3,0,71680,8960,8960,53760,13,1
41,2,500,847.03,0,0,3,2,1,0,0,38,2,3,0,3,4,6,489,1,1,0,1,0,2,112320,17280,17280,77760,11,1
32,2,1000,1000.06,0,0,6,4,5,0,0,8,2,3,2,3,1,1,684,17,1,0,1,0,0,82720,7520,15040,60160,1,0
45,0,1000,1046.71,0,1,5,8,0,0,0,57,0,2,0,1,0,2,843,4,3,0,2,1,0,48060,10680,5340,32040,8,0
32,1,500,1158.03,0,1,2,3,3,31900,-44600,7,0,2,2,4,1,5,740,23,3,2,1,3,2,63570,9780,9780,44010,13,1
54,2,1000,1372.27,0,0,5,2,3,17600,0,7,0,2,2,1,6,1,42,13,3,1,2,3,0,63240,10540,10540,42160,11,0
33,2,1000,1053.04,7000000,0,5,7,3,52000,-44500,54,0,2,1,0,0,4,509,20,3,1,1,3,0,54240,9040,9040,36160,10,1
50,2,1000,1275.39,0,1,0,11,2,0,0,42,2,1,0,4,1,5,806,16,1,2,2,3,1,37280,0,0,37280,1,1
61,2,2000,1402.75,0,1,3,3,0,0,0,48,0,2,1,4,1,1,366,10,3,0,2,1,2,72100,7210,14420,50470,7,0
59,1,500,1344.36,7000000,0,3,9,2,0,0,36,1,0,1,2,6,3,593,8,1,0,2,3,1,6500,1300,650,4550,10,0
38,1,1000,1197.71,0,1,5,6,1,29000,0,44,0,1,2,0,6,6,304,17,3,0,2,0,0,78240,13040,13040,52160,11,0
29,2,500,1203.24,0,0,3,13,2,62500,-66900,35,3,0,1,4,1,1,62,9,1,0,2,0,0,6200,1240,620,4340,6,0
36,1,1000,1152.4,0,0,0,8,4,39600,-82400,24,1,0,1,4,5,6,76,0,1,2,2,3,0,6160,560,1680,3920,8,0
48,1,2000,1142.62,7000000,0,4,4,1,0,-54000,15,2,1,2,0,4,4,728,12,1,0,2,0,0,76050,11700,11700,52650,3,0
48,2,1000,1332.07,0,0,4,3,4,49700,-59100,27,0,3,2,0,1,2,88,20,2,1,2,1,2,86060,13240,13240,59580,13,0
30,2,1000,1166.54,0,0,5,9,1,47700,-59300,20,2,1,0,1,4,0,931,3,1,2,2,0,1,107900,10790,21580,75530,4,1
34,0,500,1495.06,0,0,5,9,4,38100,-31400,6,0,2,2,1,3,1,183,18,3,1,2,0,2,99990,18180,18180,63630,8,0
29,1,1000,1337.92,0,0,6,1,1,71400,0,53,0,3,1,0,6,1,750,4,3,1,2,2,2,61380,11160,5580,44640,11,0
28,2,2000,1587.96,0,0,0,2,4,0,-26900,44,2,2,0,1,6,5,894,18,1,0,2,1,2,71280,12960,12960,45360,1,1
45,0,1000,1362.29,0,1,2,4,4,0,-51100,57,0,1,1,0,1,3,433,18,3,1,0,0,1,64000,12800,6400,44800,10,0
46,0,500,1448.84,0,0,5,6,0,0,-50000,51,1,0,3,4,4,2,767,7,1,0,0,1,1,5940,660,660,4620,12,0
37,1,2000,1241.97,0,1,2,7,1,75400,0,4,1,0,1,2,1,2,859,18,1,1,1,0,1,6700,670,670,5360,7,0
42,0,500,1124.6,0,1,0,1,1,0,0,29,0,2,1,4,1,0,447,23,3,2,0,0,0,51740,11940,7960,31840,7,0
28,2,2000,1079.92,0,1,2,6,0,88800,0,56,2,2,2,0,3,5,730,1,1,0,0,1,2,53600,6700,6700,40200,13,1
29,0,1000,1447.78,0,1,1,10,5,35100,-59900,9,0,2,2,3,4,0,854,15,3,2,1,0,0,44910,4990,4990,34930,4,0
31,1,500,1229.16,4000000,0,4,13,5,0,-88300,53,0,1,0,1,3,2,915,2,3,0,0,2,2,48100,11100,7400,29600,13,0
44,0,1000,1226.49,0,0,6,4,4,53900,0,35,3,0,3,2,6,5,548,3,1,1,0,1,1,6100,610,1220,4270,5,0
46,1,2000,897.89,6000000,1,4,12,5,0,-41300,20,2,2,1,3,3,2,389,13,1,0,1,0,2,79600,15920,15920,47760,7,0
34,1,500,1706.79,0,1,5,10,2,0,0,6,2,1,1,0,2,2,966,1,1,1,1,1,2,77040,8560,8560,59920,6,0
45,0,1000,1254.18,0,0,6,9,2,0,-45100,10,2,2,1,1,4,1,558,16,1,2,0,1,0,62590,11380,11380,39830,13,0
40,1,500,885.08,0,0,5,1,2,27000,-58900,36,2,1,2,3,6,3,347,0,1,2,0,1,1,85150,13100,13100,58950,3,0
39,0,500,1046.58,4000000,1,4,12,5,0,-31700,23,3,0,3,2,1,2,576,1,1,0,2,1,1,4950,450,900,3600,3,0
36,2,2000,1712.68,0,1,0,5,1,72200,0,48,0,3,0,1,5,5,343,17,3,0,2,0,2,51100,10220,5110,35770,1,0
54,0,2000,1097.71,0,0,5,0,1,29600,-22300,11,2,3,1,4,4,6,890,13,1,2,2,3,0,100800,16800,16800,67200,4,0
27,1,500,1363.77,4000000,0,5,12,0,51100,0,16,2,3,2,4,5,6,976,12,1,2,2,3,1,90970,16540,16540,57890,0,0
26,2,500,1382.88,7000000,1,3,12,2,0,-30300,11,2,2,1,4,4,3,142,11,1,0,1,1,2,81840,14880,7440,59520,3,1
46,2,1000,1141.35,7000000,1,5,2,1,0,0,5,2,1,0,0,1,3,289,18,1,0,0,2,1,54900,5490,5490,43920,8,0
35,2,500,1054.83,7000000,1,3,12,0,0,-51300,55,2,1,2,1,1,3,842,17,1,2,2,3,1,88660,8060,16120,64480,8,1
34,0,2000,1057.77,0,0,3,12,4,0,-57700,46,0,1,2,0,0,5,114,22,3,0,1,1,1,18000,2250,2250,13500,1,0
39,1,2000,1488.02,0,0,3,10,2,0,-39200,55,3,0,1,4,1,4,490,9,1,2,1,3,2,5500,1100,550,3850,3,0
25,1,500,920.3,5000000,0,2,12,3,51000,-67900,51,0,2,0,3,6,2,971,11,3,0,1,0,0,73920,13440,6720,53760,6,1
28,2,1000,986.53,0,0,2,0,2,62700,0,46,2,2,2,0,5,1,773,11,1,1,0,2,2,101860,18520,18520,64820,6,0
