,months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,fraud_reported
15,473,58,892874,1,2000,1131.4,0,FEMALE,4,13,2,55700,0,0,0,3,6,2,953,12,4,0,0,NO,63120,10520,10520,42080,0,Y
16,70,26,558938,2,1000,1199.44,5000000,MALE,1,6,3,63600,0,0,0,3,1,5,459,0,3,1,2,YES,52110,5790,5790,40530,9,N
17,140,31,275265,1,500,708.64,6000000,MALE,2,6,4,53500,0,2,2,4,6,3,393,9,1,0,2,YES,77880,14160,7080,56640,11,N
18,160,37,921202,2,500,1374.22,0,FEMALE,4,2,2,45500,-37800,2,2,3,1,4,319,19,1,1,0,NO,72930,6630,13260,53040,0,N
19,196,39,143972,1,2000,1475.73,0,FEMALE,2,5,3,57000,-27300,0,0,4,5,1,803,8,3,2,0,NO,60400,6040,6040,48320,9,N
20,460,62,183430,1,1000,1187.96,4000000,MALE,3,7,3,0,0,0,1,4,1,1,486,20,3,1,0,?,47160,0,5240,41920,11,N
21,217,41,431876,0,2000,875.15,0,FEMALE,0,6,3,46700,0,0,2,4,4,0,889,15,3,1,2,?,37840,0,4730,33110,0,N
22,370,55,285496,0,2000,972.18,0,MALE,2,9,2,72700,-68200,0,0,0,4,2,164,20,3,0,0,YES,71520,17880,5960,47680,11,Y
23,413,55,115399,1,2000,1268.79,0,MALE,4,8,3,0,-31000,2,2,0,6,3,518,15,1,2,2,?,98160,8180,16360,73620,4,Y
24,237,40,736882,1,1000,883.31,0,MALE,1,2,0,0,-53500,2,1,3,5,5,162,6,1,1,3,NO,77880,7080,14160,56640,5,N
25,8,35,699044,2,2000,1266.92,0,MALE,5,11,3,0,0,0,0,3,2,0,262,16,3,1,3,YES,71500,16500,11000,44000,5,Y
26,257,43,863236,1,2000,1322.1,0,MALE,2,9,3,0,-29200,1,1,4,3,0,165,4,1,1,3,YES,9020,1640,820,6560,12,N
27,202,34,608513,1,500,848.07,3000000,MALE,3,3,1,31000,-30200,3,1,2,5,4,307,5,1,2,1,?,5720,1040,520,4160,11,Y
28,224,40,914088,2,2000,1291.7,0,FEMALE,3,11,1,0,-55600,2,1,3,4,3,244,21,1,1,0,YES,69840,7760,15520,46560,4,N
29,241,45,596785,0,2000,1104.5,0,FEMALE,6,6,4,0,0,2,1,4,4,4,123,5,1,2,2,NO,91650,14100,14100,63450,0,N
30,64,25,908616,0,1000,954.16,0,MALE,5,9,0,53200,0,0,0,0,4,1,412,22,4,0,0,?,75600,12600,12600,50400,12,N
31,166,37,666333,0,2000,1337.28,8000000,MALE,3,2,0,27500,0,0,0,4,6,5,900,10,3,2,2,?,67140,7460,7460,52220,5,Y
32,155,35,336614,0,1000,1088.34,0,FEMALE,0,0,2,81100,0,0,2,4,1,0,565,16,3,2,3,NO,29790,3310,3310,23170,2,N
33,114,30,584859,0,1000,1558.29,0,MALE,2,4,5,51400,-64000,0,0,0,1,2,823,1,3,1,2,?,77110,14020,14020,49070,11,N
34,149,37,990493,0,500,1415.68,0,MALE,6,9,3,0,0,2,2,1,6,2,277,17,1,0,1,YES,64800,10800,5400,48600,1,N
35,147,33,129872,2,1000,1334.15,6000000,MALE,2,2,1,53300,-49200,2,0,3,6,6,233,15,1,2,0,YES,53100,10620,5310,37170,8,Y
36,62,28,200152,0,1000,988.45,0,FEMALE,5,10,4,0,0,2,2,4,1,4,445,3,1,1,1,YES,60200,6020,6020,48160,11,Y
37,289,49,933293,0,2000,1222.48,0,FEMALE,3,8,4,0,0,1,1,2,6,0,637,16,1,1,1,YES,5330,1230,820,3280,11,N
38,431,54,485664,1,2000,1155.55,0,FEMALE,4,2,4,65700,0,0,0,4,1,2,332,4,3,2,0,?,62300,12460,6230,43610,7,N
39,199,37,982871,1,500,1262.08,0,MALE,3,12,5,48500,0,2,0,0,0,1,264,4,1,0,3,NO,60170,10940,10940,38290,9,Y
40,79,26,206213,0,500,1451.62,0,MALE,0,12,1,0,-55700,2,1,0,6,1,427,19,1,2,2,?,40000,8000,4000,28000,2,N
41,116,34,616337,1,500,1737.66,0,MALE,0,13,4,0,-24100,2,0,4,6,4,520,1,1,1,1,?,97080,16180,16180,64720,2,Y
42,37,23,448961,0,500,1475.93,0,FEMALE,1,9,0,0,-67400,0,1,3,4,6,245,17,3,1,0,NO,51660,5740,5740,40180,4,N
43,106,30,790442,2,500,538.17,0,FEMALE,6,13,3,49700,-60200,2,2,3,0,0,635,23,1,2,2,NO,51120,5680,5680,39760,8,N
44,269,44,108844,0,2000,1081.08,0,MALE,3,8,4,36400,-28700,2,1,3,4,6,78,14,1,0,2,?,56400,11280,11280,33840,12,N
45,265,40,430029,0,1000,1454.43,0,FEMALE,4,10,0,0,0,0,2,3,1,0,360,17,3,2,3,?,55120,6890,0,48230,0,N
46,163,33,529112,1,500,1240.47,0,FEMALE,0,7,0,35300,0,0,2,1,0,3,720,11,3,1,1,?,77110,0,14020,63090,6,N
47,355,47,939631,2,2000,1273.7,4000000,MALE,1,7,0,0,0,0,0,1,6,0,879,19,3,2,1,NO,62800,6280,6280,50240,1,Y
48,175,34,866931,1,1000,1123.87,8000000,FEMALE,6,10,2,0,0,3,3,4,1,0,630,5,1,2,0,YES,7290,810,810,5670,13,N
49,192,35,582011,0,1000,1245.89,0,FEMALE,5,3,5,0,-40300,2,2,3,6,6,557,19,1,0,0,?,76600,15320,7660,53620,8,N
50,430,59,691189,2,2000,1326.62,7000000,MALE,4,7,3,0,0,0,1,1,1,5,461,19,3,0,3,YES,81800,16360,8180,57260,9,N
51,91,27,537546,0,2000,1073.83,0,FEMALE,3,4,0,0,0,3,3,2,1,0,139,4,1,1,2,?,7260,1320,660,5280,2,N
52,217,39,394975,1,1000,1530.52,0,MALE,1,1,1,0,0,3,1,2,6,3,172,8,1,2,1,YES,4300,430,430,3440,12,N
53,223,40,729634,1,500,1201.41,0,FEMALE,3,8,0,88400,-46500,0,0,4,0,1,719,7,3,1,0,?,70510,12820,12820,44870,11,N
54,195,39,282195,2,1000,1393.57,0,MALE,6,6,1,47600,-39600,1,1,4,5,3,536,5,1,0,1,YES,2640,480,480,1680,5,N
55,22,26,420810,2,1000,1276.57,0,MALE,6,2,1,71500,0,2,1,1,1,0,646,3,1,1,2,NO,78900,15780,7890,55230,3,N
56,439,56,524836,1,500,1082.49,0,FEMALE,6,9,4,36100,-55000,0,0,1,4,1,428,12,3,2,3,?,56430,0,6270,50160,6,N
57,94,32,307195,1,1000,1414.74,0,FEMALE,5,0,3,0,0,1,1,2,5,5,488,19,1,1,3,NO,2400,300,300,1800,3,N
58,11,39,623648,0,2000,1470.06,0,MALE,6,7,0,56600,-45800,2,2,0,6,5,370,22,1,0,1,NO,65790,7310,7310,51170,10,N
59,151,36,485372,2,2000,870.63,0,FEMALE,4,0,3,94800,-58500,0,1,4,5,2,143,12,3,1,1,NO,62920,11440,5720,45760,5,N
60,154,34,598554,1,500,795.23,0,MALE,6,6,2,36900,0,0,0,4,1,6,629,15,3,2,1,?,69480,15440,0,54040,9,Y
61,245,44,303987,0,1000,1168.2,0,MALE,3,5,0,69100,0,0,2,3,2,6,717,23,3,0,3,NO,44280,7380,3690,33210,6,N
62,119,32,343161,0,1000,993.51,0,MALE,2,1,4,0,-49500,2,1,3,6,2,281,12,1,0,3,YES,56300,5630,11260,39410,2,N
63,215,42,519312,2,500,1848.81,0,MALE,3,13,3,0,-49000,0,0,1,6,3,157,20,3,2,2,YES,68520,11420,5710,51390,11,Y
64,295,42,132902,2,2000,1641.73,5000000,MALE,6,11,1,62400,0,0,2,1,5,5,22,16,3,0,0,NO,59130,6570,6570,45990,5,Y
65,254,39,332867,1,500,1362.87,0,FEMALE,4,3,2,35700,0,0,1,0,1,0,16,6,3,2,2,NO,82320,13720,6860,61740,4,Y
66,107,31,356590,1,500,1239.22,7000000,FEMALE,2,12,1,43400,-91200,2,1,1,4,6,918,12,1,0,1,NO,89700,13800,13800,62100,1,Y
67,478,64,346002,2,500,835.02,0,FEMALE,0,0,4,59600,0,0,1,1,6,2,838,17,3,1,1,NO,33930,0,3770,30160,2,N
68,128,30,500533,2,1000,1061.33,0,MALE,4,6,3,43300,-66200,2,0,0,6,4,530,8,1,0,3,NO,68530,12460,6230,49840,1,N
69,338,49,348209,1,1000,1279.08,0,MALE,4,7,3,0,-51500,1,1,2,0,5,758,13,1,0,1,?,4300,860,860,2580,5,N
70,271,42,486676,2,500,1105.49,0,FEMALE,0,9,3,56200,-50000,0,0,3,4,2,791,12,2,2,3,?,68310,12420,6210,49680,1,Y
71,222,41,260845,2,2000,1055.53,0,FEMALE,4,1,1,37800,-50300,2,2,3,6,4,653,7,1,0,2,NO,61290,6810,6810,47670,6,Y
72,199,41,657045,2,1000,895.83,0,FEMALE,0,11,0,0,0,2,1,0,0,0,148,10,1,1,2,NO,30100,3010,0,27090,3,N
73,215,37,761189,1,500,1632.93,0,FEMALE,1,13,1,0,-42900,0,1,1,4,5,784,7,3,2,0,YES,57120,9520,4760,42840,8,N
74,192,40,175177,0,1000,1405.99,0,FEMALE,0,11,5,0,0,0,1,0,5,6,419,18,3,1,0,YES,42930,9540,4770,28620,2,N
75,120,35,116700,2,1000,1425.54,0,FEMALE,2,13,2,78300,0,0,2,0,4,5,454,22,3,2,0,NO,51210,11380,5690,34140,5,N
76,270,45,166264,2,1000,1038.09,0,FEMALE,1,5,0,0,-19700,0,1,1,1,6,120,18,3,1,1,YES,89400,14900,7450,67050,11,N
77,319,47,527945,1,500,1307.11,0,MALE,1,13,1,0,0,0,2,4,6,4,191,22,3,0,2,?,59730,10860,10860,38010,1,N
78,194,39,627540,2,1000,1489.24,6000000,FEMALE,3,7,5,0,-45000,3,1,2,4,6,780,15,1,2,2,YES,8060,1240,1240,5580,10,N
79,227,38,279422,2,500,976.67,0,FEMALE,6,5,4,0,0,2,0,1,4,4,617,16,1,1,2,?,72200,14440,7220,50540,2,Y
80,137,31,484200,2,2000,1340.43,0,MALE,2,3,0,52700,-40600,0,1,0,0,0,225,6,3,1,2,NO,50800,10160,10160,30480,0,N
81,244,40,645258,2,2000,1267.81,5000000,FEMALE,5,3,5,0,0,3,3,2,0,4,681,10,1,2,1,?,6600,660,1320,4620,0,N
82,78,29,694662,0,1000,1234.2,6000000,MALE,5,7,2,0,0,3,1,4,1,4,462,3,1,2,2,NO,7500,750,1500,5250,9,N
83,200,35,960680,1,2000,1318.06,0,MALE,2,3,5,57300,-80600,3,3,2,5,2,149,13,1,0,3,YES,6490,1180,1180,4130,13,N
84,284,48,498140,1,2000,769.95,0,MALE,5,9,1,0,-44200,0,0,0,1,2,0,16,2,2,3,NO,60940,5540,11080,44320,1,Y
85,275,41,498875,2,2000,1514.72,0,MALE,2,13,3,35700,0,0,0,1,1,4,721,13,3,0,1,?,58300,5830,11660,40810,11,N
86,153,34,798177,0,1000,873.64,4000000,FEMALE,0,8,0,800,0,0,1,3,4,1,948,9,3,2,1,?,68400,11400,11400,45600,5,N
87,134,32,614763,0,500,1612.43,0,FEMALE,4,7,3,36400,0,2,2,1,5,6,122,2,1,2,1,YES,64240,11680,11680,40880,2,N
88,31,36,679370,0,2000,1318.24,9000000,FEMALE,1,9,1,0,-78600,1,3,2,6,0,503,9,1,0,1,YES,4700,940,470,3290,4,N
89,41,25,958857,1,1000,1226.83,0,FEMALE,1,3,1,0,-56100,0,0,3,4,1,698,12,3,2,0,?,45120,0,5640,39480,0,Y
90,127,29,686816,2,2000,1326.44,5000000,FEMALE,2,11,3,0,0,0,2,1,4,0,827,12,2,1,1,?,66950,10300,10300,46350,10,N
91,61,23,127754,0,2000,1136.83,4000000,FEMALE,0,12,3,0,-62400,2,0,4,1,1,31,14,1,0,3,?,98340,8940,17880,71520,6,Y
92,207,42,918629,0,2000,1322.78,0,MALE,6,4,3,55200,0,1,3,2,6,6,474,9,1,0,1,NO,5900,590,590,4720,2,N
93,219,43,731450,1,1000,1483.25,0,FEMALE,4,3,1,90700,-20800,0,0,0,0,5,11,3,3,1,1,?,70680,5890,11780,53010,5,N
94,271,42,307447,0,500,1515.3,0,FEMALE,2,6,1,0,0,0,2,0,4,3,973,21,3,1,0,NO,93720,17040,8520,68160,8,N
95,80,25,992145,0,2000,1075.18,5000000,FEMALE,6,1,0,67700,-58400,3,1,2,2,4,252,5,1,2,0,YES,6930,1260,630,5040,12,N
96,325,47,900628,1,1000,1690.27,0,FEMALE,0,10,1,61500,0,2,0,1,5,6,619,11,1,0,3,NO,72930,6630,6630,59670,4,Y
97,29,25,235220,0,2000,1352.83,0,MALE,5,4,3,0,-71700,0,1,3,4,2,75,4,4,1,2,YES,64890,7210,7210,50470,9,Y
98,295,48,740019,2,1000,1148.73,0,FEMALE,1,6,5,0,0,1,3,2,6,1,341,6,1,1,2,YES,5400,900,900,3600,10,N
99,239,42,246882,0,1000,969.5,0,MALE,1,3,1,0,0,3,3,2,0,4,156,10,1,0,0,?,5600,700,700,4200,1,N
100,269,41,797613,1,500,1463.82,0,FEMALE,1,10,1,0,-72300,2,1,4,4,3,757,23,1,0,0,?,79300,15860,15860,47580,10,N
101,80,27,193442,0,1000,1474.17,0,FEMALE,1,12,4,0,0,2,0,4,6,3,764,13,1,1,0,YES,52800,10560,5280,36960,10,N
102,279,41,389238,0,500,1497.35,0,FEMALE,3,9,0,37300,-31700,0,1,1,0,4,129,16,3,2,3,NO,28800,0,3600,25200,5,N
103,165,33,760179,2,1000,1427.14,0,FEMALE,0,12,2,35300,-58100,1,1,4,6,3,1,3,1,1,1,NO,2970,330,330,2310,12,N
104,350,54,939905,2,500,1495.1,0,MALE,1,7,5,50500,0,0,2,4,4,3,352,15,3,0,0,?,93480,15580,7790,70110,3,N
105,295,49,872814,0,500,1141.62,0,MALE,1,9,0,34300,-24300,3,1,2,6,1,799,4,1,1,3,YES,4320,480,480,3360,8,N
106,464,61,632627,2,1000,1125.37,0,FEMALE,0,9,0,0,-56400,0,0,4,5,3,422,6,3,0,2,YES,79800,6650,19950,53200,10,Y
107,118,28,283414,1,2000,1207.36,0,FEMALE,2,5,3,0,-57000,0,0,0,6,1,714,22,2,1,0,?,74200,7420,14840,51940,13,N
108,298,47,163161,0,2000,1338.5,0,FEMALE,6,6,2,28800,0,2,0,1,1,4,145,1,1,0,0,?,70590,10860,10860,48870,10,Y
109,87,31,853360,1,1000,1074.07,0,FEMALE,5,11,0,0,-47500,0,0,1,1,6,221,16,3,0,3,YES,60940,5540,11080,44320,9,Y
110,261,42,776860,2,500,1337.56,0,FEMALE,1,9,4,0,0,2,1,4,4,5,469,18,1,1,2,YES,74700,7470,14940,52290,4,N
111,453,60,149367,1,500,1298.91,6000000,MALE,6,2,4,52600,-38800,2,0,1,0,6,700,0,1,0,0,?,70000,14000,7000,49000,5,Y
112,210,41,395269,0,500,1222.75,0,MALE,2,3,2,0,-41000,0,2,3,6,1,46,12,3,2,0,NO,81070,14740,14740,51590,2,N
113,168,32,981123,1,1000,1059.52,0,MALE,4,10,3,0,-40600,0,0,3,5,2,510,13,2,1,1,?,57720,14430,9620,33670,10,N
114,390,51,143626,2,2000,1124.38,0,MALE,0,1,2,0,0,3,1,2,5,4,397,9,1,1,1,YES,7080,1180,1180,4720,5,N
115,258,46,648397,1,1000,1110.37,10000000,MALE,4,6,2,34400,-56800,0,2,3,1,5,391,14,3,0,1,?,47700,4770,9540,33390,0,Y
116,107,31,154982,0,2000,1374.22,0,FEMALE,6,6,2,62000,-63100,2,1,4,4,2,804,16,1,0,3,NO,51260,9320,9320,32620,11,N
117,225,41,330591,2,2000,1103.58,0,MALE,2,3,4,41200,-36200,0,0,4,1,3,314,20,3,2,2,NO,70400,6400,12800,51200,12,Y
118,164,38,319232,0,2000,1269.76,0,FEMALE,6,13,1,44300,0,2,1,1,1,2,400,4,1,1,3,YES,90000,18000,9000,63000,5,N
119,245,39,531640,2,500,964.79,8000000,FEMALE,0,0,0,58000,0,0,1,4,1,0,71,7,3,0,1,?,72820,13240,6620,52960,2,N
120,255,41,368050,0,2000,1167.3,4000000,MALE,2,8,2,0,0,2,1,1,4,2,825,22,1,2,0,?,69300,13860,13860,41580,13,N
121,206,36,253791,0,500,1625.45,4000000,FEMALE,4,7,2,0,-53700,2,0,0,1,4,124,11,1,2,1,NO,76560,12760,12760,51040,5,Y
122,203,38,155724,0,500,1394.43,0,FEMALE,5,7,1,0,0,2,0,0,5,1,458,7,1,0,1,YES,55440,0,6160,49280,9,Y
123,22,25,824540,2,2000,1053.24,0,FEMALE,1,9,2,51100,0,0,2,3,0,0,733,0,4,1,0,NO,77130,8570,17140,51420,0,N
124,211,35,717392,0,500,1040.75,0,FEMALE,3,9,1,0,0,2,2,0,6,3,138,1,1,1,1,?,42000,7000,7000,28000,2,N
125,206,39,965768,1,1000,1302.4,6000000,MALE,3,2,4,47200,-69700,0,2,0,1,2,67,12,3,2,3,YES,36300,3300,9900,23100,5,N
126,166,38,414779,0,2000,1588.55,0,MALE,4,10,4,59600,-32100,2,2,3,6,1,760,8,1,0,0,?,40320,5760,5760,28800,11,N
127,165,32,428230,1,500,1399.26,0,FEMALE,2,12,3,70500,0,1,1,4,3,4,19,9,1,2,0,?,3960,330,660,2970,2,N
128,274,43,517240,2,2000,1352.31,0,MALE,1,4,5,40700,-47300,2,0,1,1,3,892,22,1,0,3,YES,63840,10640,10640,42560,2,Y
129,81,28,469874,0,1000,1139.0,6000000,FEMALE,5,11,0,42400,0,0,0,1,4,3,763,0,3,1,2,?,44730,4970,4970,34790,10,Y
130,280,45,718428,1,1000,1397.67,0,MALE,3,6,5,57900,0,0,1,3,1,0,899,0,3,1,2,NO,84720,14120,14120,56480,5,N
131,194,39,620215,1,500,823.17,0,MALE,5,0,3,0,0,0,0,3,6,1,8,3,3,2,2,NO,61500,6150,12300,43050,4,N
132,112,27,618659,2,500,965.13,0,FEMALE,5,12,4,60000,-54800,0,0,0,0,0,192,21,3,0,1,?,51000,8500,8500,34000,9,N
133,24,33,649082,0,1000,1922.84,0,FEMALE,2,6,5,0,-45200,2,2,4,6,3,456,0,1,2,1,NO,46800,4680,9360,32760,7,N
134,93,32,437573,2,2000,1624.82,0,MALE,6,3,4,65300,-65600,2,1,0,6,3,442,16,1,1,1,?,78120,17360,8680,52080,2,N
135,171,34,964657,1,2000,1277.25,0,FEMALE,1,3,2,84900,0,2,0,4,1,6,853,14,1,1,2,?,69200,13840,6920,48440,13,Y
136,200,40,932502,0,1000,1439.34,0,FEMALE,2,11,2,45300,-20400,3,1,4,5,5,169,9,1,0,0,NO,3690,410,410,2870,5,N
137,120,28,434507,0,1000,1281.27,0,FEMALE,6,12,1,68900,0,0,1,1,4,6,756,9,3,0,3,?,65500,6550,6550,52400,2,N
138,325,46,935277,0,500,1348.83,0,FEMALE,2,9,5,46300,-77500,0,1,1,0,6,936,21,3,1,2,YES,76120,13840,6920,55360,12,N
139,124,32,756054,0,1000,1198.15,0,FEMALE,4,7,1,0,-43200,0,2,3,5,6,797,19,3,0,2,YES,73560,12260,12260,49040,2,N
140,211,35,682387,2,2000,1221.22,0,MALE,5,6,2,76000,0,2,2,4,1,3,598,2,1,0,1,?,52030,9460,4730,37840,8,N
141,287,41,456604,0,2000,968.74,0,MALE,5,13,5,0,-49000,3,3,2,4,4,502,9,1,2,3,?,5170,470,940,3760,11,N
142,122,34,139872,1,1000,1220.71,0,MALE,6,6,3,58600,-28700,1,1,2,4,3,908,5,1,2,1,YES,8190,1890,1260,5040,3,N
143,22,29,354105,1,2000,1238.62,6000000,MALE,4,3,2,0,-56200,2,0,0,4,6,841,14,1,2,3,?,70800,7080,14160,49560,0,Y
144,106,31,165485,0,2000,1320.75,0,FEMALE,3,4,5,54100,0,0,2,4,6,6,586,20,3,0,3,YES,45630,5070,5070,35490,0,N
145,398,58,515050,2,500,990.98,0,FEMALE,0,3,5,0,-57900,2,0,4,0,4,56,18,1,2,1,?,99320,7640,15280,76400,0,Y
146,214,41,795686,0,500,1398.51,4000000,MALE,5,12,1,0,-57100,0,0,1,0,3,411,13,3,2,0,NO,64000,12800,6400,44800,2,Y
147,209,38,395983,2,500,1355.08,0,FEMALE,4,7,2,58100,0,2,1,1,6,4,131,21,1,1,1,?,47300,4730,4730,37840,9,N
148,82,27,119513,0,1000,1384.51,0,MALE,6,0,1,13100,-38200,2,0,3,4,6,946,14,1,2,3,?,71680,8960,8960,53760,13,Y
149,193,41,217938,2,500,847.03,0,FEMALE,3,2,1,0,0,2,0,3,4,6,489,1,1,1,0,YES,112320,17280,17280,77760,11,Y
150,134,32,203914,2,1000,1000.06,0,FEMALE,6,4,5,0,0,2,2,3,1,1,684,17,1,1,0,?,82720,7520,15040,60160,1,N
151,288,45,565157,0,1000,1046.71,0,MALE,5,8,0,0,0,0,0,1,0,2,843,4,3,2,1,?,48060,10680,5340,32040,8,N
152,104,32,904191,1,500,1158.03,0,MALE,2,3,3,31900,-44600,0,2,4,1,5,740,23,3,1,3,YES,63570,9780,9780,44010,13,Y
153,431,54,419510,2,1000,1372.27,0,FEMALE,5,2,3,17600,0,0,2,1,6,1,42,13,3,2,3,?,63240,10540,10540,42160,11,N
154,101,33,575000,2,1000,1053.04,7000000,FEMALE,5,7,3,52000,-44500,0,1,0,0,4,509,20,3,1,3,?,54240,9040,9040,36160,10,Y
155,375,50,120485,2,1000,1275.39,0,MALE,0,11,2,0,0,2,0,4,1,5,806,16,1,2,3,NO,37280,0,0,37280,1,Y
156,461,61,781181,2,2000,1402.75,0,MALE,3,3,0,0,0,0,1,4,1,1,366,10,3,2,1,YES,72100,7210,14420,50470,7,N
157,428,59,299796,1,500,1344.36,7000000,FEMALE,3,9,2,0,0,1,1,2,6,3,593,8,1,2,3,NO,6500,1300,650,4550,10,N
158,45,38,589749,1,1000,1197.71,0,MALE,5,6,1,29000,0,0,2,0,6,6,304,17,3,2,0,?,78240,13040,13040,52160,11,N
159,136,29,854021,2,500,1203.24,0,FEMALE,3,13,2,62500,-66900,3,1,4,1,1,62,9,1,2,0,?,6200,1240,620,4340,6,N
160,216,36,454086,1,1000,1152.4,0,FEMALE,0,8,4,39600,-82400,1,1,4,5,6,76,0,1,2,3,?,6160,560,1680,3920,8,N
161,278,48,139484,1,2000,1142.62,7000000,FEMALE,4,4,1,0,-54000,2,2,0,4,4,728,12,1,2,0,?,76050,11700,11700,52650,3,N
162,295,48,678849,2,1000,1332.07,0,FEMALE,4,3,4,49700,-59100,0,2,0,1,2,88,20,2,2,1,YES,86060,13240,13240,59580,13,N
163,112,30,346940,2,1000,1166.54,0,FEMALE,5,9,1,47700,-59300,2,0,1,4,0,931,3,1,2,0,NO,107900,10790,21580,75530,4,Y
164,122,34,985436,0,500,1495.06,0,FEMALE,5,9,4,38100,-31400,0,2,1,3,1,183,18,3,2,0,YES,99990,18180,18180,63630,8,N
165,108,29,237418,1,1000,1337.92,0,FEMALE,6,1,1,71400,0,0,1,0,6,1,750,4,3,2,2,YES,61380,11160,5580,44640,11,N
166,14,28,335780,2,2000,1587.96,0,FEMALE,0,2,4,0,-26900,2,0,1,6,5,894,18,1,2,1,YES,71280,12960,12960,45360,1,Y
167,298,45,491392,0,1000,1362.29,0,MALE,2,4,4,0,-51100,0,1,0,1,3,433,18,3,0,0,NO,64000,12800,6400,44800,10,N
168,276,46,140880,0,500,1448.84,0,FEMALE,5,6,0,0,-50000,1,3,4,4,2,767,7,1,0,1,NO,5940,660,660,4620,12,N
169,47,37,962591,1,2000,1241.97,0,MALE,2,7,1,75400,0,1,1,2,1,2,859,18,1,1,0,NO,6700,670,670,5360,7,N
170,222,42,922565,0,500,1124.6,0,MALE,0,1,1,0,0,0,1,4,1,0,447,23,3,0,0,?,51740,11940,7960,31840,7,N
171,119,28,288580,2,2000,1079.92,0,MALE,2,6,0,88800,0,2,2,0,3,5,730,1,1,0,1,YES,53600,6700,6700,40200,13,Y
172,73,29,154280,0,1000,1447.78,0,MALE,1,10,5,35100,-59900,0,2,3,4,0,854,15,3,1,0,?,44910,4990,4990,34930,4,N
173,8,31,425973,1,500,1229.16,4000000,FEMALE,4,13,5,0,-88300,0,0,1,3,2,915,2,3,0,2,YES,48100,11100,7400,29600,13,N
174,294,44,477177,0,1000,1226.49,0,FEMALE,6,4,4,53900,0,3,3,2,6,5,548,3,1,0,1,NO,6100,610,1220,4270,5,N
175,324,46,648509,1,2000,897.89,6000000,MALE,4,12,5,0,-41300,2,1,3,3,2,389,13,1,1,0,YES,79600,15920,15920,47760,7,N
176,155,34,914815,1,500,1706.79,0,MALE,5,10,2,0,0,2,1,0,2,2,966,1,1,1,1,YES,77040,8560,8560,59920,6,N
177,261,45,249048,0,1000,1254.18,0,FEMALE,6,9,2,0,-45100,2,1,1,4,1,558,16,1,0,1,?,62590,11380,11380,39830,13,N
